C6_NUM,C6_CLIENTE,C6_ENTREG,Qtd,Preço
ORD-28501,Stellar Manufacturing,25/01/2026,250,325.50
ORD-28502,Premium Logistics,26/01/2026,180,450.75
ORD-28503,Global Industries Ltd.,27/01/2026,95,2100.00
ORD-28504,Innovation Hub,28/01/2026,320,175.25
ORD-28505,Tech Solutions Inc.,29/01/2026,140,890.50
ORD-28506,Apex Trading Co.,30/01/2026,210,550.00
ORD-28507,Blue Horizon Imports,31/01/2026,175,1200.00
ORD-28508,Dynamic Systems,01/02/2026,88,950.75
ORD-28509,Global Industries Ltd.,02/02/2026,120,1500.00
ORD-28510,Nexus Systems,03/02/2026,205,425.50
ORD-28511,Premium Logistics,04/02/2026,290,280.00
ORD-28512,Stellar Manufacturing,05/02/2026,155,800.25
ORD-28513,Tech Solutions Inc.,06/02/2026,98,2050.00
ORD-28514,Innovation Hub,07/02/2026,167,520.75
ORD-28515,Acme Corporation,08/02/2026,201,650.50
